episode,total_episodes,scenario,reward,hits,deaths,steps,std,log_std_0,log_std_1,entropy,ratio,total_loss,policy_loss,value_loss,skipped,ppo_update_count,pool_episodes,adv_std_spread,learning_rate,policy_frozen,det_train_avg,det_all_avg,det_total_hits,det_total_deaths,best_reward_so_far
43,1000,four_corner,237.237526,37,3,892,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
44,1000,four_corner,393.227153,63,1,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
45,1000,vertical_wall_left,180.112735,28,3,339,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
46,1000,four_corner,439.809342,69,2,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
47,1000,four_corner,258.941593,43,1,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
48,1000,asteroid_rain,586.011620,87,3,885,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
49,1000,asteroid_rain,75.687219,13,3,160,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
50,1000,four_corner,244.264960,40,1,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
51,1000,four_corner,249.167569,40,0,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
52,1000,four_corner,182.168090,32,0,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
53,1000,asteroid_rain,160.167906,25,3,154,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
54,1000,vertical_wall_left,99.471250,16,3,82,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
55,1000,four_corner,613.278015,94,2,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
56,1000,four_corner,234.493756,38,0,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
57,1000,four_corner,558.645657,85,1,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
58,1000,asteroid_rain,75.953737,13,3,141,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
59,1000,vertical_wall_left,397.865305,60,3,729,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
60,1000,vertical_wall_left,311.048047,47,3,500,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,129.290901,223.009097,287,23,129.290901
61,1000,asteroid_rain,483.458357,72,3,633,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
62,1000,asteroid_rain,255.944120,39,3,283,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
63,1000,asteroid_rain,365.744788,55,3,443,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
64,1000,vertical_wall_left,275.184651,42,3,345,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
65,1000,asteroid_rain,193.650477,30,3,286,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
66,1000,four_corner,315.527384,51,1,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
67,1000,vertical_wall_left,90.423476,15,3,238,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
68,1000,four_corner,415.969239,65,1,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
69,1000,asteroid_rain,55.495364,10,3,134,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
70,1000,asteroid_rain,150.793272,24,3,300,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
71,1000,asteroid_rain,291.204837,44,3,265,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
72,1000,vertical_wall_left,193.147312,30,3,338,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
73,1000,asteroid_rain,173.830307,27,3,180,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
74,1000,vertical_wall_left,185.250801,29,3,450,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
75,1000,vertical_wall_left,68.794186,12,3,167,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
76,1000,asteroid_rain,151.350914,24,3,276,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
77,1000,vertical_wall_left,116.656975,19,3,270,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
78,1000,four_corner,370.518362,58,0,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
79,1000,vertical_wall_left,264.295677,40,3,250,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
80,1000,vertical_wall_left,160.496083,25,3,265,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,129.290901,223.009097,287,23,129.290901
81,1000,asteroid_rain,309.130109,47,3,449,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
82,1000,vertical_wall_left,331.159614,50,3,472,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
83,1000,four_corner,249.079971,40,0,2101,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
84,1000,vertical_wall_left,163.520516,26,3,374,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000250000,0,,,,,129.290901
